congestion_distance,speed,status,congestion_trend,section_desc,name,time
100,10.6,2,加重,"西向东,文明天桥附近",文明中路,2023-03-21 12:43:33
100,10.6,2,加重,"西向东,文明天桥附近",文明中路,2023-03-21 13:23:53
240,14.4,3,加重,"西向东,博爱南路附近",文明中路,2023-03-21 14:04:15
250,13.6,3,加重,"北向南,从和平天桥到海府路",和平南路,2023-03-21 14:44:35
210,14.77,2,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-21 14:44:35
170,5.36,4,加重,"北向南,文明天桥附近",和平北路,2023-03-21 15:04:45
120,5.36,4,加重,"北向南,文明天桥附近",和平北路,2023-03-21 15:04:45
210,13.6,2,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-21 15:04:46
170,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-21 15:24:55
120,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-21 15:24:55
240,14.03,3,加重,"西向东,博爱南路附近",文明中路,2023-03-21 15:24:56
100,3.36,4,加重,"西向东,文明天桥附近",文明中路,2023-03-21 15:45:06
120,13.6,3,持平,"北向南,文明天桥附近",和平北路,2023-03-21 16:05:17
170,13.6,3,持平,"北向南,文明天桥附近",和平北路,2023-03-21 16:05:17
430,4.79,4,持平,"西向东,从文联路到文明天桥",文明中路,2023-03-21 16:05:17
300,9.98,4,持平,"南向北,从文明天桥到锦山里北街",和平北路,2023-03-21 16:25:27
290,18.14,2,缓解,"北向南,文明天桥附近",和平北路,2023-03-21 16:25:27
120,18.14,2,缓解,"北向南,文明天桥附近",和平北路,2023-03-21 16:25:27
120,5.44,4,持平,"北向南,文明天桥附近",和平北路,2023-03-21 16:45:38
440,6.93,4,缓解,"北向南,文明天桥附近",和平北路,2023-03-21 16:45:38
350,16.9,3,缓解,"南向北,文明天桥附近",和平北路,2023-03-21 16:45:38
210,5.36,4,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-21 16:45:38
450,6.84,4,加重,"南向北,从文明天桥到锦山里北街",和平北路,2023-03-21 17:05:48
120,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-21 17:05:48
170,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-21 17:05:48
250,13.9,3,加重,"西向东,从文明天桥到东风桥",文明东路,2023-03-21 17:25:57
380,5.82,4,加重,"西向东,从文联路到文明天桥",文明中路,2023-03-21 17:25:58
210,5.36,4,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-22 12:36:30
210,7.38,3,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-22 12:56:40
