status,temperature,latitude,longitude,is_weekend,hour
1.1811315,23,39.919614,116.451179,0,14.75275
0.9613137,23,39.919614,116.451179,0,24.85318
1.4668251,23,39.919614,116.451179,1,17.51406
1.0120419,23,39.919614,116.451179,1,2.95472
1.0002264,23,39.919614,116.451179,0,3.20401
1.4287218,23,39.919614,116.451179,1,14.72905
1.0038232,23,39.919614,116.451179,1,1.5773
0.9995537,23,39.919614,116.451179,0,2.48376
1.3654078,23,39.919614,116.451179,0,18.63719
1.0384563,23,39.919614,116.451179,1,5.21053
1.0206891,23,39.919614,116.451179,1,3.8749
1.1703688,23,39.919614,116.451179,0,10.36772
1.6271435,23,39.919614,116.451179,0,17.36021
1.1341172,23,39.919614,116.451179,0,8.88557
1.0593951,23,39.919614,116.451179,0,7.16687
1.2542292,23,39.919614,116.451179,1,10.85719
0.99933445,23,39.919614,116.451179,0,2.24908
1.466381,23,39.919614,116.451179,1,17.61318
0.9740573,23,39.919614,116.451179,0,24.07099
1.2869544,23,39.919614,116.451179,1,11.83165
1.1610048,23,39.919614,116.451179,0,11.5218
1.0188316,23,39.919614,116.451179,0,21.72347
1.2130927,23,39.919614,116.451179,0,19.15516
1.171003,23,39.919614,116.451179,0,10.24924
1.0098025,23,39.919614,116.451179,0,5.11128
1.0340555,23,39.919614,116.451179,1,22.77521
0.9987209,23,39.919614,116.451179,0,1.6789
1.1791716,23,39.919614,116.451179,0,14.67714
1.0009812,23,39.919614,116.451179,0,4.04359
1.4265758,23,39.919614,116.451179,1,14.67259
1.0496597,23,39.919614,116.451179,1,5.6929
1.1112059,23,39.919614,116.451179,0,19.72891
1.0521744,23,39.919614,116.451179,1,22.09274
1.1555728,23,39.919614,116.451179,0,12.76596
1.1604258,23,39.919614,116.451179,0,11.55751
1.2717685,23,39.919614,116.451179,0,16.10729
0.9992908,23,39.919614,116.451179,0,2.2024
0.99516773,23,39.919614,116.451179,0,22.48816
1.1615309,23,39.919614,116.451179,0,11.48935
1.200851,23,39.919614,116.451179,0,19.20088
1.1301353,23,39.919614,116.451179,0,8.80234
0.9983753,23,39.919614,116.451179,0,0.0165999999999999
1.4503742,23,39.919614,116.451179,0,18.32778
1.0041384,23,39.919614,116.451179,1,1.43735
0.9981649,23,39.919614,116.451179,0,0.53194
1.0788789,23,39.919614,116.451179,0,20.22318
1.0857645,23,39.919614,116.451179,0,7.78387
1.0201539,23,39.919614,116.451179,1,3.83183
1.240175,23,39.919614,116.451179,1,10.42236
