congestion_distance,speed,status,congestion_trend,section_desc,name,time
1190,9.59,3,加重,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-03-24 20:38:46
700,3.71,4,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-24 21:19:08
700,10.78,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-24 21:59:26
700,6.23,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-24 22:39:46
610,13.21,2,加重,"北向西,从大吉巷到宝山北路",旭东路,2023-04-11 20:34:23
700,12.81,2,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-11 21:55:05
700,12.39,2,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-12 11:41:07
540,10.64,4,加重,"南向北,从师大天桥到宝山北路路口",宝山北路辅路,2023-04-12 12:21:27
810,15.1,2,加重,"北向南,从师大天桥到中山东路",宝山北路辅路,2023-04-12 14:42:48
700,3.91,4,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-12 16:44:00
710,11.67,3,加重,"北向西,从师大天桥到化龙桥",延安东路,2023-04-12 17:24:25
530,18.6,2,加重,"西向东,从中华中路到师大天桥",延安东路,2023-04-12 17:24:25
760,5.26,4,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-12 17:44:37
1190,7.53,4,加重,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-04-12 18:04:50
760,11.89,3,持平,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-12 18:04:50
700,13.95,2,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-12 18:04:51
820,14.83,2,持平,"北向西,从巫峰路到宝山北路",旭东路,2023-04-12 18:45:17
820,9.82,3,加重,"北向西,从巫峰路到宝山北路",旭东路,2023-04-12 19:05:29
700,13.42,2,缓解,"东向西,从旭东巷到宝山北路",旭东路,2023-04-12 19:25:41
820,9.54,3,加重,"北向西,从巫峰路到宝山北路",旭东路,2023-04-12 20:06:10
820,14.1,3,加重,"西向北,从师大天桥到巫峰路",旭东路,2023-04-12 20:06:10
700,2.07,4,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-12 20:26:24
820,11.04,3,加重,"北向西,从巫峰路到宝山北路",旭东路,2023-04-12 20:46:41
550,11.66,2,加重,"东向西,从大吉巷到宝山北路",旭东路,2023-04-12 21:27:06
700,10.49,3,持平,"东向西,从旭东巷到宝山北路",旭东路,2023-04-14 12:10:54
700,10.65,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-14 12:31:04
550,1.05,4,加重,"东向西,从大吉巷到宝山北路",旭东路,2023-04-14 12:51:14
550,10.85,3,缓解,"东向西,从大吉巷到宝山北路",旭东路,2023-04-14 13:11:25
530,18.66,2,加重,"东向西,从师大天桥到化龙桥",延安东路,2023-04-14 14:32:06
550,10.6,3,加重,"东向西,从大吉巷到宝山北路",旭东路,2023-04-14 14:32:07
700,10,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-14 22:18:32
550,3.36,4,持平,"东向西,从大吉巷到宝山北路",旭东路,2023-04-14 22:38:46
760,15.6,2,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-15 11:39:56
700,11.21,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-15 12:00:08
530,19.7,2,加重,"东向西,从师大天桥到化龙桥",延安东路,2023-04-15 12:20:18
820,11.48,3,加重,"北向西,从巫峰路到宝山北路",旭东路,2023-04-15 12:20:19
1190,11.15,3,持平,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-04-15 12:40:29
760,12.94,3,缓解,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-15 12:40:30
710,14.92,3,加重,"北向西,从师大天桥到化龙桥",延安东路,2023-04-15 12:40:30
530,19.31,2,加重,"西向东,从中华中路到师大天桥",延安东路,2023-04-15 12:40:30
890,5.39,4,加重,"北向南,师大天桥附近",宝山北路,2023-04-15 13:00:41
750,8.86,3,持平,"南向西,从旭东路到师大天桥",宝山北路,2023-04-15 13:00:41
710,9.51,3,缓解,"北向西,从师大天桥到化龙桥",延安东路,2023-04-15 13:00:41
710,15.39,2,缓解,"北向西,从师大天桥到化龙桥",延安东路,2023-04-15 13:20:52
700,11.89,2,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-15 13:20:53
760,12.81,3,缓解,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-15 18:56:54
700,12.37,2,缓解,"东向西,从旭东巷到宝山北路",旭东路,2023-04-15 18:56:55
530,17.75,2,缓解,"东向西,从师大天桥到化龙桥",延安东路,2023-04-15 19:17:04
550,1.7,4,加重,"东向西,从大吉巷到宝山北路",旭东路,2023-04-16 19:43:24
820,11.17,3,持平,"西向北,从师大天桥到巫峰路",旭东路,2023-04-16 19:43:24
620,8.42,3,加重,"南向北,从中山东路到旭东路",宝山北路,2023-04-16 20:03:35
760,7.11,3,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-16 20:03:35
700,5.47,4,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-16 20:03:36
720,9.68,3,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-16 20:23:46
820,11.35,3,加重,"北向西,从巫峰路到宝山北路",旭东路,2023-04-16 20:23:47
760,8.02,3,缓解,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-16 20:43:58
820,5.37,4,加重,"北向西,从巫峰路到宝山北路",旭东路,2023-04-16 20:43:59
500,3.36,4,缓解,"东向南,从大吉巷到宝山北路辅路",旭东路,2023-04-16 22:04:39
550,10.16,3,加重,"东向西,从大吉巷到宝山北路",旭东路,2023-04-16 22:44:59
760,15.04,2,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-17 16:20:15
550,12.1,2,持平,"东向西,从大吉巷到宝山北路",旭东路,2023-04-17 17:00:35
810,10.2,3,加重,"北向南,从师大天桥到中山东路",宝山北路辅路,2023-04-17 17:20:43
780,13.76,3,加重,"南向北,从中山东路到旭东路",宝山北路,2023-04-17 17:40:53
1470,4.25,4,缓解,"北向南,从神奇大桥到师大天桥",宝山北路,2023-04-17 18:01:03
1190,9.52,3,加重,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-04-17 18:01:03
510,2.0,4,加重,"北向南,从宝山北路路口到师大天桥",宝山北路辅路,2023-04-17 18:01:03
760,4.6,4,持平,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-17 18:01:03
690,6.17,4,加重,"北向南,从观山东路到师大天桥",宝山北路,2023-04-17 18:21:15
1190,9.09,3,缓解,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-04-17 18:21:15
550,5.66,4,加重,"北向南,从宝山北路路口到师大天桥",宝山北路辅路,2023-04-17 18:21:16
510,6.17,4,加重,"北向南,从宝山北路路口到师大天桥",宝山北路辅路,2023-04-17 18:21:16
760,4.46,4,持平,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-17 18:21:16
510,3.93,4,缓解,"北向南,从宝山北路路口到师大天桥",宝山北路辅路,2023-04-17 18:41:27
550,6.23,4,持平,"北向南,从宝山北路路口到师大天桥",宝山北路辅路,2023-04-17 18:41:27
760,12.65,3,缓解,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-17 18:41:27
700,10.95,3,持平,"东向西,从旭东巷到宝山北路",旭东路,2023-04-17 18:41:28
700,17.08,3,加重,"西向东,从宝山北路到旭东巷",旭东路,2023-04-17 18:41:28
510,3.77,4,缓解,"北向南,从宝山北路路口到师大天桥",宝山北路辅路,2023-04-17 19:01:37
550,5.67,4,持平,"北向南,从宝山北路路口到师大天桥",宝山北路辅路,2023-04-17 19:01:37
810,9.19,3,加重,"北向南,从师大天桥到中山东路",宝山北路辅路,2023-04-18 13:57:44
530,19.15,2,持平,"东向西,从师大天桥到化龙桥",延安东路,2023-04-18 14:38:02
540,8.03,4,持平,"南向北,从师大天桥到宝山北路路口",宝山北路辅路,2023-04-18 16:38:57
540,6.3,4,持平,"南向北,从师大天桥到宝山北路路口",宝山北路辅路,2023-04-18 16:59:07
620,7.47,3,加重,"南向北,从中山东路到旭东路",宝山北路,2023-04-18 17:19:16
780,1.66,4,加重,"南向北,从中山东路到旭东路",宝山北路,2023-04-18 17:39:25
1220,5.8,4,加重,"北向南,师大天桥附近",宝山北路,2023-04-18 17:39:25
1190,6.83,4,缓解,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-04-18 17:59:34
1220,9.72,3,缓解,"北向南,师大天桥附近",宝山北路,2023-04-18 17:59:34
760,4.19,4,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-18 17:59:34
930,9.31,3,持平,"西向南,从师大天桥到中山东路",宝山北路辅路,2023-04-18 17:59:34
1220,11.45,3,加重,"北向南,师大天桥附近",宝山北路,2023-04-18 18:19:44
1190,9.81,3,缓解,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-04-18 18:19:44
760,12.56,3,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-04-18 18:39:54
700,8.77,3,缓解,"东向西,从旭东巷到宝山北路",旭东路,2023-04-18 18:39:55
540,16.6,3,加重,"南向北,从师大天桥到宝山北路路口",宝山北路辅路,2023-04-18 19:00:04
700,12.56,2,持平,"东向西,从旭东巷到宝山北路",旭东路,2023-04-18 19:00:05
820,4.12,4,加重,"北向西,从巫峰路到宝山北路",旭东路,2023-04-18 19:20:16
820,13.56,2,加重,"北向西,从巫峰路到宝山北路",旭东路,2023-04-18 20:20:42
700,11.67,2,缓解,"东向西,从旭东巷到宝山北路",旭东路,2023-04-18 21:21:10
700,11.48,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-18 21:41:19
550,4.16,4,持平,"东向西,从大吉巷到宝山北路",旭东路,2023-04-18 22:01:30
700,11.02,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-18 22:41:50
550,11.6,2,加重,"东向西,从大吉巷到宝山北路",旭东路,2023-04-19 13:34:58
550,11.98,2,加重,"东向西,从大吉巷到宝山北路",旭东路,2023-04-19 14:35:27
700,13.15,2,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-19 14:55:36
700,10.18,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-19 16:56:44
1040,16.59,2,加重,"南向西,从中山东路到师大天桥",宝山北路,2023-04-19 18:17:22
1220,20.27,2,加重,"北向南,师大天桥附近",宝山北路,2023-04-19 18:17:22
1190,7.39,4,加重,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-04-19 18:57:42
700,12.6,2,持平,"东向西,从旭东巷到宝山北路",旭东路,2023-04-19 18:57:43
820,14.75,3,加重,"西向北,从师大天桥到巫峰路",旭东路,2023-04-19 19:17:53
700,2.96,4,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-19 19:58:11
550,7.44,4,加重,"西向东,从宝山北路到大吉巷",旭东路,2023-04-19 19:58:11
700,3.91,4,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-19 20:38:32
700,9.53,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-19 20:58:42
530,18.31,2,加重,"东向西,从师大天桥到化龙桥",延安东路,2023-04-20 13:06:50
700,15.08,2,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-04-20 13:06:51
810,14.12,3,加重,"北向南,从师大天桥到中山东路",宝山北路辅路,2023-04-20 14:27:30
