status,temperature,is_weekend,hour
1.04762,27.0,1,13
1.04762,11.0,1,13
1.26667,5.0,1,13
1.27778,5.0,1,13
1.31579,14.0,1,13
1.35484,5.0,1,13
1.0,14.0,1,13
1.0,14.0,1,13
1.1,11.0,1,13
1.14286,27.0,1,13
1.0,27.0,1,13
2.02632,11.0,1,13
1.33333,27.0,1,13
1.03571,11.0,1,13
1.4375,5.0,1,13
1.26667,5.0,1,13
1.22222,5.0,1,13
1.07143,11.0,1,13
1.40909,11.0,1,13
1.13333,27.0,1,13
1.0,27.0,1,13
2.05128,11.0,1,13
1.1,27.0,1,13
1.0,27.0,1,13
1.19355,5.0,1,13
1.17647,5.0,1,13
1.2,5.0,1,13
1.36842,14.0,1,13
1.125,14.0,1,13
1.0,14.0,1,13
2.02564,12.0,1,14
1.0,12.0,1,14
1.69231,27.0,1,14
1.0,12.0,1,14
1.05,27.0,1,14
1.0,27.0,1,14
1.0,6.0,1,14
1.23529,6.0,1,14
1.0,6.0,1,14
1.375,6.0,1,14
1.375,14.0,1,14
1.42105,14.0,1,14
1.08333,14.0,1,14
1.0,12.0,1,14
1.0,12.0,1,14
1.66667,27.0,1,14
1.09524,27.0,1,14
2.125,12.0,1,14
1.09524,27.0,1,14
1.42105,14.0,1,14
1.0,14.0,1,14
1.1,6.0,1,14
1.33333,6.0,1,14
1.25,14.0,1,14
1.1875,6.0,1,14
1.21429,12.0,1,14
2.14286,12.0,1,14
1.09091,27.0,1,14
1.14286,12.0,1,14
1.4,27.0,1,14
1.0,27.0,1,14
1.05,12.0,1,14
1.27778,14.0,1,14
1.17647,6.0,1,14
1.13333,6.0,1,14
1.125,12.0,1,14
1.13333,6.0,1,14
1.5,27.0,1,14
1.04167,14.0,1,14
1.375,14.0,1,14
1.0,14.0,1,14
1.16667,7.0,1,15
2.05128,13.0,1,15
1.04762,29.0,1,15
1.27778,7.0,1,15
1.13333,7.0,1,15
1.63636,29.0,1,15
1.03571,13.0,1,15
1.19048,29.0,1,15
1.19048,13.0,1,15
1.0,14.0,1,15
1.125,14.0,1,15
1.4,14.0,1,15
1.45455,29.0,1,15
1.86111,13.0,1,15
1.14286,13.0,1,15
1.27778,7.0,1,15
1.07143,13.0,1,15
1.0,29.0,1,15
1.18182,29.0,1,15
1.25,7.0,1,15
1.625,14.0,1,15
1.47368,14.0,1,15
1.47059,7.0,1,15
1.15385,7.0,1,15
1.04167,14.0,1,15
1.0,29.0,1,15
1.77778,13.0,1,15
1.0,13.0,1,15
1.18182,13.0,1,15
1.5,29.0,1,15
2.0,29.0,1,15
1.44444,14.0,1,15
1.25,7.0,1,15
1.0,14.0,1,15
1.47368,14.0,1,15
1.05882,7.0,1,15
1.1,7.0,1,15
1.67568,13.0,1,16
1.76923,29.0,1,16
1.15789,13.0,1,16
1.09524,29.0,1,16
1.13636,29.0,1,16
1.0,13.0,1,16
1.11765,8.0,1,16
1.0,13.0,1,16
1.04167,15.0,1,16
1.0,15.0,1,16
1.47368,15.0,1,16
1.2,8.0,1,16
1.13333,8.0,1,16
1.4,29.0,1,16
1.29167,29.0,1,16
1.375,29.0,1,16
1.22727,13.0,1,16
1.04167,15.0,1,16
1.31579,8.0,1,16
1.25,15.0,1,16
1.03571,13.0,1,16
1.55,15.0,1,16
1.61111,13.0,1,16
1.03333,8.0,1,16
1.2,8.0,1,16
1.0,29.0,1,16
1.05882,8.0,1,16
2.0,29.0,1,16
1.08333,15.0,1,16
1.18182,13.0,1,16
1.35714,29.0,1,16
1.34783,29.0,1,16
1.0,15.0,1,16
1.06667,8.0,1,16
1.0,8.0,1,16
1.58824,13.0,1,16
1.0,13.0,1,16
1.375,15.0,1,16
1.57895,15.0,1,16
1.05,13.0,1,17
1.58824,13.0,1,17
1.0,8.0,1,17
1.19048,29.0,1,17
1.83333,29.0,1,17
1.17391,29.0,1,17
1.03571,13.0,1,17
1.0,15.0,1,17
1.0,8.0,1,17
1.55,15.0,1,17
2.0,15.0,1,17
1.18182,8.0,1,17
1.1875,8.0,1,17
1.21739,29.0,1,17
1.41176,13.0,1,17
1.30435,29.0,1,17
1.15385,13.0,1,17
1.41667,29.0,1,17
1.03333,8.0,1,17
1.33333,13.0,1,17
1.03571,13.0,1,17
1.8,15.0,1,17
1.63636,15.0,1,17
1.06667,8.0,1,17
1.08,15.0,1,17
1.23529,8.0,1,17
1.78571,29.0,1,17
1.31818,29.0,1,17
1.54167,29.0,1,17
1.17647,8.0,1,17
1.09524,13.0,1,17
1.16667,13.0,1,17
1.0,13.0,1,17
1.2,8.0,1,17
1.0,15.0,1,17
1.33333,15.0,1,17
1.19355,8.0,1,17
1.36842,15.0,1,17
1.375,28.0,1,18
1.34783,28.0,1,18
1.46154,28.0,1,18
1.1,8.0,1,18
1.16667,13.0,1,18
1.47368,13.0,1,18
1.13333,8.0,1,18
1.0,12.0,1,18
1.41176,8.0,1,18
1.375,13.0,1,18
1.0,12.0,1,18
1.16667,12.0,1,18
1.71429,28.0,1,18
1.26087,28.0,1,18
1.0,28.0,1,18
1.0,12.0,1,18
1.66667,8.0,1,18
1.16667,8.0,1,18
1.0,12.0,1,18
1.1,8.0,1,18
1.22581,12.0,1,18
1.35,28.0,1,18
1.0,13.0,1,18
1.0,13.0,1,18
1.36842,13.0,1,18
1.0,8.0,1,18
1.75,13.0,1,18
1.13793,12.0,1,18
1.03571,12.0,1,18
1.0,12.0,1,18
1.1875,8.0,1,18
1.16667,8.0,1,18
1.04167,13.0,1,18
1.25,13.0,1,18
1.17647,8.0,1,18
1.54545,13.0,1,18
1.0,10.0,1,19
1.125,12.0,1,19
1.0,10.0,1,19
1.03333,8.0,1,19
1.23529,8.0,1,19
1.06667,8.0,1,19
1.0,12.0,1,19
1.0,10.0,1,19
1.0,10.0,1,19
1.63636,12.0,1,19
1.0,12.0,1,19
1.2,10.0,1,19
1.04167,12.0,1,19
1.13333,8.0,1,19
1.06667,8.0,1,19
1.27778,8.0,1,19
1.5,12.0,1,19
1.0,10.0,1,19
1.0,10.0,1,19
1.33333,8.0,1,19
1.0,12.0,1,19
1.26316,12.0,1,19
1.10345,10.0,1,19
1.0,10.0,1,19
1.0,12.0,1,19
1.0,10.0,1,19
1.2,8.0,1,19
1.16129,8.0,1,19
1.27778,7.0,1,20
1.0,8.0,1,20
1.10345,8.0,1,20
1.0,12.0,1,20
1.33333,12.0,1,20
1.27273,7.0,1,20
1.04762,8.0,1,20
1.0,12.0,1,20
1.0,7.0,1,20
1.0,12.0,1,20
1.13333,7.0,1,20
1.13333,7.0,1,20
1.03333,7.0,1,20
1.57895,7.0,1,20
1.15789,11.0,1,20
1.0,11.0,1,20
1.0,11.0,1,20
1.0,8.0,1,20
1.0,25.0,1,20
1.03571,8.0,1,20
1.0,8.0,1,20
1.0,25.0,1,20
1.04762,25.0,1,20
1.0,8.0,1,20
1.0,7.0,1,21
1.08333,11.0,1,21
1.0,11.0,1,21
1.10526,11.0,1,21
1.22222,7.0,1,21
1.07692,8.0,1,21
1.0,7.0,1,21
1.05556,25.0,1,21
1.06667,7.0,1,21
1.0,25.0,1,21
1.3,25.0,1,21
1.05,25.0,1,21
1.0,11.0,1,21
1.0,11.0,1,21
1.0,11.0,1,21
1.0,8.0,1,21
1.05882,7.0,1,21
1.06667,7.0,1,21
1.0,7.0,1,21
1.0,25.0,1,21
1.36364,25.0,1,21
1.36364,25.0,1,21
1.0,8.0,1,21
1.0,10.0,1,21
1.0,10.0,1,21
1.0,10.0,1,21
1.0,7.0,1,21
1.0,7.0,1,21
1.0,7.0,1,21
1.0,23.0,1,21
1.1,23.0,1,21
1.5,23.0,1,21
1.0,8.0,1,22
1.0,8.0,1,22
1.0,10.0,1,22
1.0,10.0,1,22
1.0,10.0,1,22
1.0,7.0,1,22
1.0,7.0,1,22
1.0,7.0,1,22
1.0,23.0,1,22
1.0,23.0,1,22
1.36364,23.0,1,22
1.0,10.0,1,22
1.0,10.0,1,22
1.0,10.0,1,22
1.0,10.0,1,22
1.0,7.0,1,22
1.0,7.0,1,22
1.0,7.0,1,22
1.0,23.0,1,22
1.0,23.0,1,22
1.0,23.0,1,22
1.0,10.0,1,22
1.14286,7.0,1,22
1.0,10.0,1,22
1.04167,10.0,1,22
1.0,23.0,1,22
1.0,23.0,1,22
1.21739,23.0,1,22
1.1,23.0,1,22
1.04167,10.0,1,23
1.0,10.0,1,23
1.0,10.0,1,23
1.0,23.0,1,23
1.0,23.0,1,23
1.13636,23.0,1,23
1.0,10.0,1,23
1.0,10.0,1,23
1.0,10.0,1,23
1.0,23.0,1,23
1.04762,23.0,1,23
1.0,23.0,1,23
1.0,9.0,1,23
1.0,9.0,1,23
1.0,9.0,1,23
1.09524,22.0,1,23
1.0,22.0,1,23
1.0,22.0,1,23
1.0,10.0,0,11
1.42105,11.0,0,11
1.08333,11.0,0,11
1.0,11.0,0,11
1.11765,10.0,0,11
1.0,25.0,0,11
1.03571,9.0,0,11
1.40909,9.0,0,11
1.2,10.0,0,11
1.04762,25.0,0,11
1.83333,25.0,0,11
